megye,ev,szam
Neamt,2019,826
Olt,2019,518
Prahova,2019,1311
Salaj,2019,324
Satu Mare,2019,563
Sibiu,2019,776
Suceava,2019,1020
Teleorman,2019,508
Timis,2019,890
Tulcea,2019,297
Valcea,2019,188
Vaslui,2019,643
Vrancea,2019,424
Alba,2020,343
Arad,2020,478
Arges,2020,767
Bacau,2020,836
Bihor,2020,793
Bistrita-Nasaud,2020,169
Botosani,2020,389
Braila,2020,428
Brasov,2020,872
Buzau,2020,380
Calarasi,2020,340
Caras-Severin,2020,290
Cluj,2020,672
Constanta,2020,984
Covasna,2020,218
Dambovita,2020,596
Dolj,2020,476
Galati,2020,808
Giurgiu,2020,276
Gorj,2020,482
Harghita,2020,282
Hunedoara,2020,558
Ialomita,2020,383
Iasi,2020,1028
Ilfov,2020,524
Maramures,2020,596
Mehedinti,2020,256
