megye,ev,szam
Olt,1990,4114
Olt,1991,3830
Olt,1992,3945
Olt,1993,3682
Olt,1994,3267
Olt,1995,3541
Olt,1996,3391
Olt,1997,3224
Olt,1998,3271
Olt,1999,2963
Olt,2000,2861
Olt,2001,2452
Olt,2002,2559
Olt,2003,2679
Olt,2005,2636
Olt,2006,2746
Olt,2007,4086
Olt,2008,2790
Olt,2009,2480
Olt,2010,2061
Olt,2011,1897
Olt,2012,1916
Olt,2013,1833
Olt,2014,1989
Olt,2015,2090
Olt,2016,2264
Olt,2017,2333
Olt,2018,2426
Olt,2019,2341
Olt,2020,1274
Olt,2021,2047
Olt,2022,2176
Olt,3004,2670
Prahova,1990,7554
Prahova,1991,7703
Prahova,1992,7187
Prahova,1993,6661
Prahova,1994,6276
Prahova,1995,5701
Prahova,1996,5801
Prahova,1997,5598
Prahova,1998,5466
Prahova,1999,5397
Prahova,2000,5173
Prahova,2001,4842
Prahova,2002,4640
Prahova,2003,4608
Prahova,2005,4806
Prahova,2006,4972
Prahova,2007,6299
Prahova,2008,5266
Prahova,2009,4655
Prahova,2010,3774
Prahova,2011,3525
Prahova,2012,3735
Prahova,2013,3622
Prahova,2014,3912
Prahova,2015,4091
Prahova,2016,4498
Prahova,2017,4721
Prahova,2018,4546
Prahova,2019,4265
Prahova,2020,2842
Prahova,2021,3656
Prahova,2022,3842
Prahova,3004,4987
Salaj,1990,1949
Salaj,1991,1944
Salaj,1992,1934
Salaj,1993,1851
Salaj,1994,1616
Salaj,1995,1743
Salaj,1996,1654
Salaj,1997,1653
Salaj,1998,1614
Salaj,1999,1623
Salaj,2000,1375
Salaj,2001,1425
Salaj,2002,1394
Salaj,2003,1447
Salaj,2005,1490
Salaj,2006,1516
Salaj,2007,2196
Salaj,2008,1490
Salaj,2009,1386
Salaj,2010,1354
Salaj,2011,1163
Salaj,2012,1226
Salaj,2013,1240
Salaj,2014,1261
Salaj,2015,1332
Salaj,2016,1393
Salaj,2017,1372
Salaj,2018,1416
Salaj,2019,1350
Salaj,2020,825
Salaj,2021,1248
Salaj,2022,1207
Salaj,3004,1437
Satu Mare,1990,3232
Satu Mare,1991,3161
Satu Mare,1992,3160
Satu Mare,1993,2747
Satu Mare,1994,2683
